Transect No,Species,Stage,Sex (if adult)
25-1361,Haemaphysalis longicornis,Adult,Female
25-1361,Haemaphysalis longicornis,Nymph,
25-1361,Haemaphysalis longicornis,Nymph,
25-1361,Amblyomma americanum,Nymph,
25-1371,Amblyomma americanum,Nymph,
25-1371,Amblyomma americanum,Nymph,
25-2467,Amblyomma americanum,Nymph,
25-2468,Ixodes scapularis,Nymph,
25-2468,Amblyomma americanum,Adult,Female
25-2468,Amblyomma americanum,Nymph,
25-2468,Amblyomma americanum,Nymph,
25-2468,Amblyomma americanum,Nymph,
25-2468,Haemaphysalis longicornis,Nymph,
25-2468,Haemaphysalis longicornis,Nymph,
25-2470,Ixodes scapularis,Nymph,
25-2470,Ixodes scapularis,Nymph,
25-2470,Amblyomma americanum,Adult,Female
25-2470,Amblyomma americanum,Nymph,
25-2470,Amblyomma americanum,Nymph,
25-2470,Amblyomma americanum,Nymph,
25-2470,Amblyomma americanum,Nymph,
25-2470,Amblyomma americanum,Nymph,
25-2470,Amblyomma americanum,Nymph,
25-2470,Amblyomma americanum,Nymph,
25-2470,Haemaphysalis longicornis,Nymph,
25-1370,Amblyomma americanum,Nymph,
25-1370,Amblyomma americanum,Nymph,
25-1370,Amblyomma americanum,Nymph,
25-1370,Amblyomma americanum,Nymph,
25-1350,Haemaphysalis longicornis,Nymph,
25-1350,Haemaphysalis longicornis,Nymph,
25-1350,Haemaphysalis longicornis,Nymph,
25-1350,Haemaphysalis longicornis,Nymph,
25-1350,Haemaphysalis longicornis,Nymph,
25-1350,Haemaphysalis longicornis,Larva,
25-1380,Ixodes scapularis,Nymph,
25-1380,Ixodes scapularis,Nymph,
25-1380,Ixodes scapularis,Nymph,
25-1380,Ixodes scapularis,Nymph,
25-1351,Ixodes scapularis,Nymph,
25-1351,Ixodes scapularis,Nymph,
25-1351,Ixodes scapularis,Nymph,
25-1351,Amblyomma americanum,Nymph,
25-1351,Haemaphysalis longicornis,Nymph,
25-1351,Haemaphysalis longicornis,Nymph,
25-1351,Haemaphysalis longicornis,Nymph,
25-1351,Haemaphysalis longicornis,Nymph,
25-2423,Ixodes scapularis,Nymph,
25-2350,Dermacentor variabilis,Adult,Male
25-2350,Dermacentor variabilis,Adult,Male
25-2350,Dermacentor variabilis,Adult,Male
25-2350,Dermacentor variabilis,Adult,Male
25-2350,Dermacentor variabilis,Adult,Male
25-2350,Dermacentor variabilis,Adult,Female
25-2463,Haemaphysalis longicornis,Nymph,
25-2464,Haemaphysalis longicornis,Nymph,
25-0186,Ixodes scapularis,Nymph,
25-0186,Amblyomma americanum,Nymph,
25-0187,Ixodes scapularis,Nymph,
25-0187,Ixodes scapularis,Nymph,
25-0125,Ixodes scapularis,Adult,Male
25-0125,Ixodes scapularis,Adult,Female
25-2402,Dermacentor variabilis,Adult,Female
25-2402,Dermacentor variabilis,Adult,Female
25-2402,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Ixodes scapularis,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Amblyomma americanum,Nymph,
25-0183,Haemaphysalis longicornis,Nymph,
25-0183,Haemaphysalis longicornis,Nymph,
25-0183,Haemaphysalis longicornis,Nymph,
25-1139,Ixodes scapularis,Nymph,
25-0181,Ixodes scapularis,Nymph,
25-0181,Ixodes scapularis,Nymph,
25-0181,Ixodes scapularis,Nymph,
25-0181,Ixodes scapularis,Nymph,
25-0182,Ixodes scapularis,Nymph,
25-0182,Ixodes scapularis,Nymph,
25-0182,Ixodes scapularis,Nymph,
25-0182,Dermacentor variabilis,Adult,Female
25-0182,Dermacentor variabilis,Adult,Female
25-0180,Ixodes scapularis,Nymph,
25-0180,Ixodes scapularis,Nymph,
25-0180,Ixodes scapularis,Nymph,
25-0180,Ixodes scapularis,Adult,Male
25-0180,Dermacentor variabilis,Adult,Female
25-0234,Haemaphysalis longicornis,Nymph,
25-0234,Haemaphysalis longicornis,Nymph,
25-0234,Haemaphysalis longicornis,Nymph,
25-0234,Haemaphysalis longicornis,Nymph,
25-0234,Haemaphysalis longicornis,Nymph,
25-0234,Haemaphysalis longicornis,Nymph,
25-0234,Haemaphysalis longicornis,Nymph,
25-0234,Haemaphysalis longicornis,Nymph,
25-0234,Amblyomma americanum,Nymph,
25-0234,Haemaphysalis longicornis,Adult,Female
25-0230,Ixodes scapularis,Nymph,
25-0230,Amblyomma americanum,Nymph,
25-0230,Haemaphysalis longicornis,Nymph,
25-1230,Haemaphysalis longicornis,Nymph,
25-1201,Dermacentor variabilis,Adult,Male
25-1201,Dermacentor variabilis,Adult,Male
25-1301,Ixodes scapularis,Nymph,
25-1301,Ixodes scapularis,Nymph,
25-1301,Ixodes scapularis,Nymph,
25-1301,Ixodes scapularis,Nymph,
25-1301,Ixodes scapularis,Nymph,
25-1301,Ixodes scapularis,Nymph,
25-0231,Ixodes scapularis,Nymph,
25-0231,Ixodes scapularis,Nymph,
25-0231,Ixodes scapularis,Nymph,
25-0231,Haemaphysalis longicornis,Adult,Female
25-0231,Haemaphysalis longicornis,Adult,Female
25-0231,Amblyomma americanum,Adult,Female
25-0231,Amblyomma americanum,Nymph,
25-0231,Amblyomma americanum,Nymph,
25-0231,Amblyomma americanum,Nymph,
25-0231,Amblyomma americanum,Nymph,
25-0231,Amblyomma americanum,Nymph,
25-0231,Amblyomma americanum,Nymph,
25-0231,Amblyomma americanum,Nymph,
25-0231,Haemaphysalis longicornis,Nymph,
25-0231,Haemaphysalis longicornis,Nymph,
25-0231,Haemaphysalis longicornis,Nymph,
25-0231,Haemaphysalis longicornis,Nymph,
25-0231,Haemaphysalis longicornis,Nymph,
25-0231,Haemaphysalis longicornis,Nymph,
25-0231,Haemaphysalis longicornis,Nymph,
25-0231,Haemaphysalis longicornis,Nymph,
25-0231,Haemaphysalis longicornis,Nymph,
25-0231,Haemaphysalis longicornis,Nymph,
25-0231,Haemaphysalis longicornis,Nymph,
25-0231,Haemaphysalis longicornis,Nymph,
25-0231,Haemaphysalis longicornis,Nymph,
25-0231,Haemaphysalis longicornis,Nymph,
25-0232,Haemaphysalis longicornis,Nymph,
25-0232,Haemaphysalis longicornis,Nymph,
25-0232,Haemaphysalis longicornis,Nymph,
25-0232,Haemaphysalis longicornis,Nymph,
25-0232,Haemaphysalis longicornis,Nymph,
25-0232,Haemaphysalis longicornis,Nymph,
25-0232,Haemaphysalis longicornis,Nymph,
25-0232,Haemaphysalis longicornis,Nymph,
25-0232,Haemaphysalis longicornis,Nymph,
25-0232,Haemaphysalis longicornis,Nymph,
25-0232,Haemaphysalis longicornis,Nymph,
25-0232,Haemaphysalis longicornis,Nymph,
25-0232,Amblyomma americanum,Nymph,
25-0232,Amblyomma americanum,Nymph,
25-0232,Amblyomma americanum,Nymph,
25-0232,Haemaphysalis longicornis,Adult,Female
25-0232,Haemaphysalis longicornis,Adult,Female
25-0232,Amblyomma americanum,Adult,Male
25-0232,Ixodes scapularis,Nymph,
25-2425,Ixodes scapularis,Nymph,
25-2425,Ixodes scapularis,Nymph,
25-2352,Amblyomma americanum,Adult,Male
25-1291,Ixodes scapularis,Nymph,
25-1280,Dermacentor variabilis,Adult,Female
25-1280,Ixodes scapularis,Nymph,
25-1280,Ixodes scapularis,Nymph,
25-1280,Ixodes scapularis,Nymph,
25-1280,Ixodes scapularis,Nymph,
25-1280,Ixodes scapularis,Nymph,
25-1280,Ixodes scapularis,Nymph,
25-1280,Ixodes scapularis,Nymph,
25-0189,Ixodes scapularis,Nymph,
25-0189,Ixodes scapularis,Nymph,
25-1502,Haemaphysalis longicornis,Adult,Female
25-1502,Haemaphysalis longicornis,Adult,Female
25-1502,Haemaphysalis longicornis,Nymph,Female
25-1502,Amblyomma americanum,Nymph,
25-2903,Haemaphysalis longicornis,Adult,Female
25-2903,Haemaphysalis longicornis,Nymph,
25-2903,Haemaphysalis longicornis,Nymph,
25-2903,Haemaphysalis longicornis,Nymph,
25-2903,Amblyomma americanum,Nymph,
25-2903,Amblyomma americanum,Nymph,
25-2903,Amblyomma americanum,Nymph,
25-2903,Amblyomma americanum,Nymph,
25-2903,Amblyomma americanum,Nymph,
25-2903,Amblyomma americanum,Nymph,
25-2903,Amblyomma americanum,Nymph,
25-2903,Amblyomma americanum,Nymph,
25-0242,Haemaphysalis longicornis,Nymph,
25-0242,Amblyomma americanum,Nymph,
25-0242,Amblyomma americanum,Nymph,
25-0242,Amblyomma americanum,Nymph,
25-0242,Amblyomma americanum,Nymph,
25-0242,Amblyomma americanum,Nymph,
25-0242,Amblyomma americanum,Nymph,
25-0242,Amblyomma americanum,Nymph,
25-0242,Amblyomma americanum,Nymph,
25-0242,Amblyomma americanum,Nymph,
25-0242,Amblyomma americanum,Adult,Male
25-0242,Amblyomma americanum,Adult,Male
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-0282C,Amblyomma americanum,Nymph,
25-2902,Amblyomma americanum,Nymph,
25-2902,Amblyomma americanum,Nymph,
25-2902,Amblyomma americanum,Nymph,
25-2902,Amblyomma americanum,Nymph,
25-2902,Amblyomma americanum,Nymph,
25-2902,Amblyomma americanum,Nymph,
25-2902,Amblyomma americanum,Nymph,
25-2902,Amblyomma americanum,Nymph,
25-2902,Amblyomma americanum,Nymph,
25-2902,Amblyomma americanum,Adult,
25-2902,Haemaphysalis longicornis,Nymph,
25-2902,Ixodes scapularis,Nymph,
25-2902,Ixodes scapularis,Nymph,
25-2902,Ixodes scapularis,Nymph,
25-2902,Ixodes scapularis,Nymph,
25-2901,Amblyomma americanum,Adult,Female
25-2901,Amblyomma americanum,Adult,Female
25-2901,Amblyomma americanum,Adult,Female
25-2901,Amblyomma americanum,Adult,Male
25-2901,Amblyomma americanum,Adult,Male
25-2901,Haemaphysalis longicornis,Adult,Female
25-2901,Haemaphysalis longicornis,Nymph,
25-2901,Haemaphysalis longicornis,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-2901,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Nymph,
25-1600,Amblyomma americanum,Adult,Female
25-1600,Dermacentor variabilis,Adult,Male
25-1600,Ixodes scapularis,Nymph,
25-0280,Haemaphysalis longicornis,Nymph,
25-0280,Haemaphysalis longicornis,Nymph,
25-0280,Haemaphysalis longicornis,Nymph,
25-0280,Haemaphysalis longicornis,Nymph,
25-0280,Haemaphysalis longicornis,Nymph,
25-0280,Haemaphysalis longicornis,Adult,Female
25-0280,Haemaphysalis longicornis,Adult,Female
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Nymph,
25-0280,Amblyomma americanum,Adult,Male
25-0280,Amblyomma americanum,Adult,Male
25-0280,Amblyomma americanum,Adult,Female
25-0280,Amblyomma americanum,Adult,Female
25-0280,Amblyomma americanum,Adult,Female
25-0280,Amblyomma americanum,Adult,Female
25-0280,Amblyomma americanum,Adult,Female
25-0280,Amblyomma americanum,Adult,Female
25-0280,Amblyomma americanum,Nymph,
25-0280,Ixodes scapularis,Nymph,
25-0280,Ixodes scapularis,Nymph,
25-0280,Ixodes scapularis,Nymph,
25-2816,Haemaphysalis longicornis,Nymph,
25-2816,Haemaphysalis longicornis,Nymph,
25-2816,Haemaphysalis longicornis,Nymph,
25-2816,Haemaphysalis longicornis,Nymph,
25-2816,Haemaphysalis longicornis,Nymph,
25-2816,Haemaphysalis longicornis,Nymph,
25-2816,Haemaphysalis longicornis,Nymph,
25-0244,Amblyomma americanum,Nymph,
25-0244,Amblyomma americanum,Nymph,
25-0244,Amblyomma americanum,Nymph,
25-0244,Amblyomma americanum,Nymph,
25-0244,Amblyomma americanum,Nymph,
25-0244,Amblyomma americanum,Nymph,
25-0244,Amblyomma americanum,Nymph,
25-0244,Amblyomma americanum,Nymph,
25-0244,Amblyomma americanum,Nymph,
25-0244,Amblyomma americanum,Adult,Female
25-0244,Haemaphysalis longicornis,,
25-0244,Haemaphysalis longicornis,,
25-0244,Haemaphysalis longicornis,,
25-0244,Ixodes scapularis,Nymph,
25-0244,Ixodes scapularis,Nymph,
25-0244,Ixodes scapularis,Nymph,
25-0244,Ixodes scapularis,Nymph,
25-0244,Ixodes scapularis,Nymph,
25-0282A,Ixodes scapularis,Nymph,
25-0282A,Ixodes scapularis,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Nymph,
25-0282A,Amblyomma americanum,Adult,Female
25-0282A,Haemaphysalis longicornis,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Amblyomma americanum,Nymph,
25-0282B,Dermacentor variabilis,Adult,Male
25-0305,Dermacentor variabilis,Adult,Female
25-0305,Dermacentor variabilis,Adult,Male
25-0305,Ixodes scapularis,Nymph,
25-1601,Ixodes scapularis,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Amblyomma americanum,Nymph,
25-1601,Haemaphysalis longicornis,Nymph,
North Alley Extra (7/15/25),Dermacentor variabilis,Adult,Female
Vets/Knolls Extra,Amblyomma americanum,Nymph,
Vets/Knolls Extra,Amblyomma americanum,Nymph,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Ixodes scapularis,Larva,
25-0414,Amblyomma americanum,Adult,Male
25-0414,Haemaphysalis longicornis,Larva,
25-0414,Ixodes scapularis,Nymph,
25-0414,Ixodes scapularis,Nymph,
25-0414,Ixodes scapularis,Nymph,
25-0340,Haemaphysalis longicornis,Nymph,
25-0329,Haemaphysalis longicornis,Nymph,
25-0329,Amblyomma americanum,Nymph,
25-2938,Amblyomma americanum,Adult,Male
25-0328,Haemaphysalis longicornis,Adult,Female
25-0328,Haemaphysalis longicornis,Nymph,
25-0328,Ixodes scapularis,Nymph,
25-0328,Ixodes scapularis,Nymph,
25-2939,Ixodes scapularis,Nymph,
25-0321,Haemaphysalis longicornis,Adult,Female
25-0321,Ixodes scapularis,Nymph,
25-0321,Ixodes scapularis,Nymph,
25-0321,Ixodes scapularis,Nymph,
25-0321,Ixodes scapularis,Nymph,
25-0320,Ixodes scapularis,Nymph,
25-0390,Amblyomma americanum,Nymph,
25-0390,Amblyomma americanum,Nymph,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Larva,
25-0442,Ixodes scapularis,Nymph,
25-0442,Ixodes scapularis,Nymph,
25-0412,Amblyomma americanum,Nymph,
25-0412,Amblyomma americanum,Nymph,
25-0412,Amblyomma americanum,Nymph,
25-0412,Amblyomma americanum,Nymph,
25-0412,Amblyomma americanum,Nymph,
25-0412,Amblyomma americanum,Nymph,
25-0412,Amblyomma americanum,Nymph,
25-0412,Amblyomma americanum,Nymph,
25-0412,Amblyomma americanum,Nymph,
25-0412,Amblyomma americanum,Nymph,
25-0412,Amblyomma americanum,Nymph,
25-0412,Amblyomma americanum,Nymph,
25-0412,Haemaphysalis longicornis,Nymph,
25-0412,Haemaphysalis longicornis,Nymph,
25-0412,Ixodes scapularis,Nymph,
25-0412,Ixodes scapularis,Nymph,
25-0447,Ixodes scapularis,Nymph,
25-0447,Ixodes scapularis,Nymph,
25-0436,Ixodes scapularis,Nymph,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
