Site,Transect type,Date,Transect No.,Section,Habitat type,Temperature,Relative Humidity,GPS Start,GPS End,Start Time,End Time,Collector,Notes
Clove Lakes Park,Trail,Jun/30/2025,25-2814,6,Unmaintained herbaceous and leaf litter,83.0,62.0,"40.6181327, -74.1126557","40.6172230, -74.1120392",10:24 AM,10:45 AM,Stephen Lewis,"Total: 0; T: 85.1°F, 62.2; I: 83.8, 62.3; E: 86.0°F. 62.7"
Clove Lakes Park,Trail,Jun/30/2025,25-2814,7,Unmaintained herbaceous and leaf litter,83.0,62.0,"40.6181327, -74.1126557","40.6172230, -74.1120392",10:24 AM,10:45 AM,Stephen Lewis,"Total: 0; T: 85.1°F, 62.2; I: 83.8, 62.3; E: 86.0°F. 62.7"
Clove Lakes Park,Trail,Jun/30/2025,25-2814,8,Unmaintained herbaceous and leaf litter,83.0,62.0,"40.6181327, -74.1126557","40.6172230, -74.1120392",10:24 AM,10:45 AM,Stephen Lewis,"Total: 0; T: 85.1°F, 62.2; I: 83.8, 62.3; E: 86.0°F. 62.7"
Clove Lakes Park,Trail,Jun/30/2025,25-2814,9,Unmaintained herbaceous and leaf litter,83.0,62.0,"40.6181327, -74.1126557","40.6172230, -74.1120392",10:24 AM,10:45 AM,Stephen Lewis,"Total: 0; T: 85.1°F, 62.2; I: 83.8, 62.3; E: 86.0°F. 62.7"
Clove Lakes Park,Trail,Jun/30/2025,25-2814,10,Unmaintained herbaceous and leaf litter,83.0,62.0,"40.6181327, -74.1126557","40.6172230, -74.1120392",10:24 AM,10:45 AM,Stephen Lewis,"Total: 0; T: 85.1°F, 62.2; I: 83.8, 62.3; E: 86.0°F. 62.7"
Clove Lakes Park,Interior,Jun/30/2025,25-2815,1,Unmaintained herbaceous and leaf litter,82.6,66.7,"40.6171834, -74.1121743","40.6175730, -74.1128157",10:45 AM,10:54 AM,Stephen Lewis,"Total: 0; T: 85.1°F, 62.2; I: 83.8, 62.3; E: 86.0°F. 62.7"
Clove Lakes Park,Interior,Jun/30/2025,25-2815,2,Unmaintained herbaceous and leaf litter,82.6,66.7,"40.6171834, -74.1121743","40.6175730, -74.1128157",10:45 AM,10:54 AM,Stephen Lewis,"Total: 0; T: 85.1°F, 62.2; I: 83.8, 62.3; E: 86.0°F. 62.7"
Clove Lakes Park,Interior,Jun/30/2025,25-2815,3,Unmaintained herbaceous and leaf litter,82.6,66.7,"40.6171834, -74.1121743","40.6175730, -74.1128157",10:45 AM,10:54 AM,Stephen Lewis,"Total: 0; T: 85.1°F, 62.2; I: 83.8, 62.3; E: 86.0°F. 62.7"
Clove Lakes Park,Interior,Jun/30/2025,25-2815,4,Unmaintained herbaceous and leaf litter,82.6,66.7,"40.6171834, -74.1121743","40.6175730, -74.1128157",10:45 AM,10:54 AM,Stephen Lewis,"Total: 0; T: 85.1°F, 62.2; I: 83.8, 62.3; E: 86.0°F. 62.7"
Clove Lakes Park,Interior,Jun/30/2025,25-2815,5,Unmaintained herbaceous and leaf litter,82.6,66.7,"40.6171834, -74.1121743","40.6175730, -74.1128157",10:45 AM,10:54 AM,Stephen Lewis,"Total: 0; T: 85.1°F, 62.2; I: 83.8, 62.3; E: 86.0°F. 62.7"
Clove Lakes Park,Interior,Jun/30/2025,25-2815,6,Unmaintained herbaceous and leaf litter,82.6,66.7,"40.6171834, -74.1121743","40.6175730, -74.1128157",10:45 AM,10:54 AM,Stephen Lewis,"Total: 0; T: 85.1°F, 62.2; I: 83.8, 62.3; E: 86.0°F. 62.7"
Clove Lakes Park,Interior,Jun/30/2025,25-2815,7,Unmaintained herbaceous and leaf litter,82.6,66.7,"40.6171834, -74.1121743","40.6175730, -74.1128157",10:45 AM,10:54 AM,Stephen Lewis,"Total: 0; T: 85.1°F, 62.2; I: 83.8, 62.3; E: 86.0°F. 62.7"
Clove Lakes Park,Interior,Jun/30/2025,25-2815,8,Unmaintained herbaceous and leaf litter,82.6,66.7,"40.6171834, -74.1121743","40.6175730, -74.1128157",10:45 AM,10:54 AM,Stephen Lewis,"Total: 0; T: 85.1°F, 62.2; I: 83.8, 62.3; E: 86.0°F. 62.7"
Clove Lakes Park,Interior,Jun/30/2025,25-2815,9,Unmaintained herbaceous and leaf litter,82.6,66.7,"40.6171834, -74.1121743","40.6175730, -74.1128157",10:45 AM,10:54 AM,Stephen Lewis,"Total: 0; T: 85.1°F, 62.2; I: 83.8, 62.3; E: 86.0°F. 62.7"
Clove Lakes Park,Interior,Jun/30/2025,25-2815,10,Unmaintained herbaceous and leaf litter,82.6,66.7,"40.6171834, -74.1121743","40.6175730, -74.1128157",10:45 AM,10:54 AM,Stephen Lewis,"Total: 0; T: 85.1°F, 62.2; I: 83.8, 62.3; E: 86.0°F. 62.7"
Cunningham1,Trail,Jul/12/2025,25-0404,1,Unmaintained herbaceous and leaf litter,,,"40.7273759, -73.7722596","40.7277202, -73.7709128",7:30 AM,7:45 AM,Rob Gullery,"Paved, some dirt"
Cunningham1,Trail,Jul/12/2025,25-0404,2,Unmaintained herbaceous and leaf litter,,,"40.7273759, -73.7722596","40.7277202, -73.7709128",7:30 AM,7:45 AM,Rob Gullery,"Paved, some dirt"
Cunningham1,Trail,Jul/12/2025,25-0404,3,Unmaintained herbaceous and leaf litter,,,"40.7273759, -73.7722596","40.7277202, -73.7709128",7:30 AM,7:45 AM,Rob Gullery,"Paved, some dirt"
Cunningham1,Trail,Jul/12/2025,25-0404,4,Unmaintained herbaceous and leaf litter,,,"40.7273759, -73.7722596","40.7277202, -73.7709128",7:30 AM,7:45 AM,Rob Gullery,"Paved, some dirt"
Cunningham1,Trail,Jul/12/2025,25-0404,5,Unmaintained herbaceous and leaf litter,,,"40.7273759, -73.7722596","40.7277202, -73.7709128",7:30 AM,7:45 AM,Rob Gullery,"Paved, some dirt"
Cunningham1,Trail,Jul/12/2025,25-0404,6,Unmaintained herbaceous and leaf litter,,,"40.7273759, -73.7722596","40.7277202, -73.7709128",7:30 AM,7:45 AM,Rob Gullery,"Paved, some dirt"
Cunningham1,Trail,Jul/12/2025,25-0404,7,Unmaintained herbaceous and leaf litter,,,"40.7273759, -73.7722596","40.7277202, -73.7709128",7:30 AM,7:45 AM,Rob Gullery,"Paved, some dirt"
Cunningham1,Trail,Jul/12/2025,25-0404,8,Unmaintained herbaceous and leaf litter,,,"40.7273759, -73.7722596","40.7277202, -73.7709128",7:30 AM,7:45 AM,Rob Gullery,"Paved, some dirt"
Cunningham1,Trail,Jul/12/2025,25-0404,9,Unmaintained herbaceous and leaf litter,,,"40.7273759, -73.7722596","40.7277202, -73.7709128",7:30 AM,7:45 AM,Rob Gullery,"Paved, some dirt"
Cunningham1,Trail,Jul/12/2025,25-0404,10,Unmaintained herbaceous and leaf litter,,,"40.7273759, -73.7722596","40.7277202, -73.7709128",7:30 AM,7:45 AM,Rob Gullery,"Paved, some dirt"
Cunningham1,Interior,Jul/12/2025,25-0405,1,Unmaintained herbaceous and leaf litter,,,"40.7276780, -73.7710965","40.7272788, -73.7722214",7:45 AM,8:00 AM,Rob Gullery,
Cunningham1,Interior,Jul/12/2025,25-0405,2,Unmaintained herbaceous and leaf litter,,,"40.7276780, -73.7710965","40.7272788, -73.7722214",7:45 AM,8:00 AM,Rob Gullery,
Cunningham1,Interior,Jul/12/2025,25-0405,3,Unmaintained herbaceous and leaf litter,,,"40.7276780, -73.7710965","40.7272788, -73.7722214",7:45 AM,8:00 AM,Rob Gullery,
Cunningham1,Interior,Jul/12/2025,25-0405,4,Unmaintained herbaceous and leaf litter,,,"40.7276780, -73.7710965","40.7272788, -73.7722214",7:45 AM,8:00 AM,Rob Gullery,
Cunningham1,Interior,Jul/12/2025,25-0405,5,Unmaintained herbaceous and leaf litter,,,"40.7276780, -73.7710965","40.7272788, -73.7722214",7:45 AM,8:00 AM,Rob Gullery,
Cunningham1,Interior,Jul/12/2025,25-0405,6,Unmaintained herbaceous and leaf litter,,,"40.7276780, -73.7710965","40.7272788, -73.7722214",7:45 AM,8:00 AM,Rob Gullery,
Cunningham1,Interior,Jul/12/2025,25-0405,7,Unmaintained herbaceous and leaf litter,,,"40.7276780, -73.7710965","40.7272788, -73.7722214",7:45 AM,8:00 AM,Rob Gullery,
Cunningham1,Interior,Jul/12/2025,25-0405,8,Unmaintained herbaceous and leaf litter,,,"40.7276780, -73.7710965","40.7272788, -73.7722214",7:45 AM,8:00 AM,Rob Gullery,
Cunningham1,Interior,Jul/12/2025,25-0405,9,Unmaintained herbaceous and leaf litter,,,"40.7276780, -73.7710965","40.7272788, -73.7722214",7:45 AM,8:00 AM,Rob Gullery,
Cunningham1,Interior,Jul/12/2025,25-0405,10,Unmaintained herbaceous and leaf litter,,,"40.7276780, -73.7710965","40.7272788, -73.7722214",7:45 AM,8:00 AM,Rob Gullery,
Cunningham1,Edge,Jul/12/2025,25-0406,1,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7279905, -73.7729064","40.7286437, -73.7722861",8:00 AM,8:10 AM,Rob Gullery,
Cunningham1,Edge,Jul/12/2025,25-0406,2,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7279905, -73.7729064","40.7286437, -73.7722861",8:00 AM,8:10 AM,Rob Gullery,
Cunningham1,Edge,Jul/12/2025,25-0406,3,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7279905, -73.7729064","40.7286437, -73.7722861",8:00 AM,8:10 AM,Rob Gullery,
Cunningham1,Edge,Jul/12/2025,25-0406,4,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7279905, -73.7729064","40.7286437, -73.7722861",8:00 AM,8:10 AM,Rob Gullery,
Cunningham1,Edge,Jul/12/2025,25-0406,5,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7279905, -73.7729064","40.7286437, -73.7722861",8:00 AM,8:10 AM,Rob Gullery,
Cunningham1,Edge,Jul/12/2025,25-0406,6,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7279905, -73.7729064","40.7286437, -73.7722861",8:00 AM,8:10 AM,Rob Gullery,
Cunningham1,Edge,Jul/12/2025,25-0406,7,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7279905, -73.7729064","40.7286437, -73.7722861",8:00 AM,8:10 AM,Rob Gullery,
Cunningham1,Edge,Jul/12/2025,25-0406,8,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7279905, -73.7729064","40.7286437, -73.7722861",8:00 AM,8:10 AM,Rob Gullery,
Cunningham1,Edge,Jul/12/2025,25-0406,9,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7279905, -73.7729064","40.7286437, -73.7722861",8:00 AM,8:10 AM,Rob Gullery,
Cunningham1,Edge,Jul/12/2025,25-0406,10,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7279905, -73.7729064","40.7286437, -73.7722861",8:00 AM,8:10 AM,Rob Gullery,
Cunningham1,Edge,Jul/12/2025,25-0407,1,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7286458, -73.7722308","40.7288775, -73.7711203",8:10 AM,8:20 AM,,
Cunningham1,Edge,Jul/12/2025,25-0407,2,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7286458, -73.7722308","40.7288775, -73.7711203",8:10 AM,8:20 AM,,
Cunningham1,Edge,Jul/12/2025,25-0407,3,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7286458, -73.7722308","40.7288775, -73.7711203",8:10 AM,8:20 AM,,
Cunningham1,Edge,Jul/12/2025,25-0407,4,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7286458, -73.7722308","40.7288775, -73.7711203",8:10 AM,8:20 AM,,
Cunningham1,Edge,Jul/12/2025,25-0407,5,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7286458, -73.7722308","40.7288775, -73.7711203",8:10 AM,8:20 AM,,
Cunningham1,Edge,Jul/12/2025,25-0407,6,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7286458, -73.7722308","40.7288775, -73.7711203",8:10 AM,8:20 AM,,
Cunningham1,Edge,Jul/12/2025,25-0407,7,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7286458, -73.7722308","40.7288775, -73.7711203",8:10 AM,8:20 AM,,
Cunningham1,Edge,Jul/12/2025,25-0407,8,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7286458, -73.7722308","40.7288775, -73.7711203",8:10 AM,8:20 AM,,
Cunningham1,Edge,Jul/12/2025,25-0407,9,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7286458, -73.7722308","40.7288775, -73.7711203",8:10 AM,8:20 AM,,
Cunningham1,Edge,Jul/12/2025,25-0407,10,Maintained grass and unmaintained herbaceous,77.5,75.1,"40.7286458, -73.7722308","40.7288775, -73.7711203",8:10 AM,8:20 AM,,
Cunningham1,Trail,Jul/12/2025,25-2974,1,Unmaintained herbaceous and leaf litter,77.9,73.1,"40.7275471, -73.7704696","40.7279092, -73.7696961",7:39 AM,7:51 AM,Stephen Lewis,BUST! Total: 0
Cunningham1,Trail,Jul/12/2025,25-2974,2,Unmaintained herbaceous and leaf litter,77.9,73.1,"40.7275471, -73.7704696","40.7279092, -73.7696961",7:39 AM,7:51 AM,Stephen Lewis,BUST! Total: 0
Cunningham1,Trail,Jul/12/2025,25-2974,3,Unmaintained herbaceous and leaf litter,77.9,73.1,"40.7275471, -73.7704696","40.7279092, -73.7696961",7:39 AM,7:51 AM,Stephen Lewis,BUST! Total: 0
Cunningham1,Trail,Jul/12/2025,25-2974,4,Unmaintained herbaceous and leaf litter,77.9,73.1,"40.7275471, -73.7704696","40.7279092, -73.7696961",7:39 AM,7:51 AM,Stephen Lewis,BUST! Total: 0
Cunningham1,Trail,Jul/12/2025,25-2974,5,Unmaintained herbaceous and leaf litter,77.9,73.1,"40.7275471, -73.7704696","40.7279092, -73.7696961",7:39 AM,7:51 AM,Stephen Lewis,BUST! Total: 0
Cunningham1,Trail,Jul/12/2025,25-2974,6,Unmaintained herbaceous and leaf litter,77.9,73.1,"40.7275471, -73.7704696","40.7279092, -73.7696961",7:39 AM,7:51 AM,Stephen Lewis,BUST! Total: 0
Cunningham1,Trail,Jul/12/2025,25-2974,7,Unmaintained herbaceous and leaf litter,77.9,73.1,"40.7275471, -73.7704696","40.7279092, -73.7696961",7:39 AM,7:51 AM,Stephen Lewis,BUST! Total: 0
Cunningham1,Trail,Jul/12/2025,25-2974,8,Unmaintained herbaceous and leaf litter,77.9,73.1,"40.7275471, -73.7704696","40.7279092, -73.7696961",7:39 AM,7:51 AM,Stephen Lewis,BUST! Total: 0
Cunningham1,Trail,Jul/12/2025,25-2974,9,Unmaintained herbaceous and leaf litter,77.9,73.1,"40.7275471, -73.7704696","40.7279092, -73.7696961",7:39 AM,7:51 AM,Stephen Lewis,BUST! Total: 0
Cunningham1,Trail,Jul/12/2025,25-2974,10,Unmaintained herbaceous and leaf litter,77.9,73.1,"40.7275471, -73.7704696","40.7279092, -73.7696961",7:39 AM,7:51 AM,Stephen Lewis,BUST! Total: 0
Cunningham1,Trail,Jul/12/2025,25-2975a,1,Unmaintained herbaceous and leaf litter,77.6,72.9,"40.7279692, -73.7696961","40.72811180, -73.7691590",7:51 AM,8:10 AM,Stephen Lewis,Total: 0
Cunningham1,Trail,Jul/12/2025,25-2975a,2,Unmaintained herbaceous and leaf litter,77.6,72.9,"40.7279692, -73.7696961","40.72811180, -73.7691590",7:51 AM,8:10 AM,Stephen Lewis,Total: 0
Cunningham1,Trail,Jul/12/2025,25-2975a,3,Unmaintained herbaceous and leaf litter,77.6,72.9,"40.7279692, -73.7696961","40.72811180, -73.7691590",7:51 AM,8:10 AM,Stephen Lewis,Total: 0
Cunningham1,Trail,Jul/12/2025,25-2975a,4,Unmaintained herbaceous and leaf litter,77.6,72.9,"40.7279692, -73.7696961","40.72811180, -73.7691590",7:51 AM,8:10 AM,Stephen Lewis,Total: 0
Cunningham1,Trail,Jul/12/2025,25-2975a,5,Unmaintained herbaceous and leaf litter,77.6,72.9,"40.7279692, -73.7696961","40.72811180, -73.7691590",7:51 AM,8:10 AM,Stephen Lewis,Total: 0
Cunningham1,Trail,Jul/12/2025,25-2975a,6,Unmaintained herbaceous and leaf litter,77.6,72.9,"40.7279692, -73.7696961","40.72811180, -73.7691590",7:51 AM,8:10 AM,Stephen Lewis,Total: 0
Cunningham1,Trail,Jul/12/2025,25-2975a,7,Unmaintained herbaceous and leaf litter,77.6,72.9,"40.7279692, -73.7696961","40.72811180, -73.7691590",7:51 AM,8:10 AM,Stephen Lewis,Total: 0
Cunningham1,Trail,Jul/12/2025,25-2975a,8,Unmaintained herbaceous and leaf litter,77.6,72.9,"40.7279692, -73.7696961","40.72811180, -73.7691590",7:51 AM,8:10 AM,Stephen Lewis,Total: 0
Cunningham1,Trail,Jul/12/2025,25-2975a,9,Unmaintained herbaceous and leaf litter,77.6,72.9,"40.7279692, -73.7696961","40.72811180, -73.7691590",7:51 AM,8:10 AM,Stephen Lewis,Total: 0
Cunningham1,Trail,Jul/12/2025,25-2975a,10,Unmaintained herbaceous and leaf litter,77.6,72.9,"40.7279692, -73.7696961","40.72811180, -73.7691590",7:51 AM,8:10 AM,Stephen Lewis,Total: 0
Cunningham2,Trail,Jul/12/2025,25-0400,1,Unmaintained herbaceous and leaf litter,78.6,75.2,"40.7418106, -73.7671436","40.7426962, -73.7678842",6:30 AM,6:45 AM,Rob Gullery,Leafy/Dirt Trail
Cunningham2,Trail,Jul/12/2025,25-0400,2,Unmaintained herbaceous and leaf litter,78.6,75.2,"40.7418106, -73.7671436","40.7426962, -73.7678842",6:30 AM,6:45 AM,Rob Gullery,Leafy/Dirt Trail
Cunningham2,Trail,Jul/12/2025,25-0400,3,Unmaintained herbaceous and leaf litter,78.6,75.2,"40.7418106, -73.7671436","40.7426962, -73.7678842",6:30 AM,6:45 AM,Rob Gullery,Leafy/Dirt Trail
Cunningham2,Trail,Jul/12/2025,25-0400,4,Unmaintained herbaceous and leaf litter,78.6,75.2,"40.7418106, -73.7671436","40.7426962, -73.7678842",6:30 AM,6:45 AM,Rob Gullery,Leafy/Dirt Trail
Cunningham2,Trail,Jul/12/2025,25-0400,5,Unmaintained herbaceous and leaf litter,78.6,75.2,"40.7418106, -73.7671436","40.7426962, -73.7678842",6:30 AM,6:45 AM,Rob Gullery,Leafy/Dirt Trail
Cunningham2,Trail,Jul/12/2025,25-0400,6,Unmaintained herbaceous and leaf litter,78.6,75.2,"40.7418106, -73.7671436","40.7426962, -73.7678842",6:30 AM,6:45 AM,Rob Gullery,Leafy/Dirt Trail
Cunningham2,Trail,Jul/12/2025,25-0400,7,Unmaintained herbaceous and leaf litter,78.6,75.2,"40.7418106, -73.7671436","40.7426962, -73.7678842",6:30 AM,6:45 AM,Rob Gullery,Leafy/Dirt Trail
Cunningham2,Trail,Jul/12/2025,25-0400,8,Unmaintained herbaceous and leaf litter,78.6,75.2,"40.7418106, -73.7671436","40.7426962, -73.7678842",6:30 AM,6:45 AM,Rob Gullery,Leafy/Dirt Trail
Cunningham2,Trail,Jul/12/2025,25-0400,9,Unmaintained herbaceous and leaf litter,78.6,75.2,"40.7418106, -73.7671436","40.7426962, -73.7678842",6:30 AM,6:45 AM,Rob Gullery,Leafy/Dirt Trail
Cunningham2,Trail,Jul/12/2025,25-0400,10,Unmaintained herbaceous and leaf litter,78.6,75.2,"40.7418106, -73.7671436","40.7426962, -73.7678842",6:30 AM,6:45 AM,Rob Gullery,Leafy/Dirt Trail
Cunningham2,Interior,Jul/12/2025,25-0401,1,Unmaintained herbaceous and leaf litter,78.6,74.3,"40.7428518, -73.7678242","40.7420144, -73.7676331",6:45 AM,7:00 AM,Rob Gullery,
Cunningham2,Interior,Jul/12/2025,25-0401,2,Unmaintained herbaceous and leaf litter,78.6,74.3,"40.7428518, -73.7678242","40.7420144, -73.7676331",6:45 AM,7:00 AM,Rob Gullery,
Cunningham2,Interior,Jul/12/2025,25-0401,3,Unmaintained herbaceous and leaf litter,78.6,74.3,"40.7428518, -73.7678242","40.7420144, -73.7676331",6:45 AM,7:00 AM,Rob Gullery,
Cunningham2,Interior,Jul/12/2025,25-0401,4,Unmaintained herbaceous and leaf litter,78.6,74.3,"40.7428518, -73.7678242","40.7420144, -73.7676331",6:45 AM,7:00 AM,Rob Gullery,
Cunningham2,Interior,Jul/12/2025,25-0401,5,Unmaintained herbaceous and leaf litter,78.6,74.3,"40.7428518, -73.7678242","40.7420144, -73.7676331",6:45 AM,7:00 AM,Rob Gullery,
Cunningham2,Interior,Jul/12/2025,25-0401,6,Unmaintained herbaceous and leaf litter,78.6,74.3,"40.7428518, -73.7678242","40.7420144, -73.7676331",6:45 AM,7:00 AM,Rob Gullery,
Cunningham2,Interior,Jul/12/2025,25-0401,7,Unmaintained herbaceous and leaf litter,78.6,74.3,"40.7428518, -73.7678242","40.7420144, -73.7676331",6:45 AM,7:00 AM,Rob Gullery,
Cunningham2,Interior,Jul/12/2025,25-0401,8,Unmaintained herbaceous and leaf litter,78.6,74.3,"40.7428518, -73.7678242","40.7420144, -73.7676331",6:45 AM,7:00 AM,Rob Gullery,
Cunningham2,Interior,Jul/12/2025,25-0401,9,Unmaintained herbaceous and leaf litter,78.6,74.3,"40.7428518, -73.7678242","40.7420144, -73.7676331",6:45 AM,7:00 AM,Rob Gullery,
Cunningham2,Interior,Jul/12/2025,25-0401,10,Unmaintained herbaceous and leaf litter,78.6,74.3,"40.7428518, -73.7678242","40.7420144, -73.7676331",6:45 AM,7:00 AM,Rob Gullery,
Cunningham2,Trail,(MAYBE Jun/24/2025),25-1330,1,Unmaintained herbaceous,87.0,67.4,"40.726932, -73.772660","40.727533, -73.771670",9:36 AM,9:51 AM,(MAYBE NE),
Cunningham2,Trail,(MAYBE Jun/24/2025),25-1330,2,Unmaintained herbaceous and leaf litter,87.0,67.4,"40.726932, -73.772660","40.727533, -73.771670",9:36 AM,9:51 AM,(MAYBE NE),
Cunningham2,Trail,(MAYBE Jun/24/2025),25-1330,3,Unmaintained herbaceous and leaf litter,87.0,67.4,"40.726932, -73.772660","40.727533, -73.771670",9:36 AM,9:51 AM,(MAYBE NE),
Cunningham2,Trail,(MAYBE Jun/24/2025),25-1330,4,Unmaintained herbaceous and leaf litter,87.0,67.4,"40.726932, -73.772660","40.727533, -73.771670",9:36 AM,9:51 AM,(MAYBE NE),
Cunningham2,Trail,(MAYBE Jun/24/2025),25-1330,5,Unmaintained herbaceous and leaf litter,87.0,67.4,"40.726932, -73.772660","40.727533, -73.771670",9:36 AM,9:51 AM,(MAYBE NE),
Cunningham2,Trail,(MAYBE Jun/24/2025),25-1330,6,Unmaintained herbaceous and leaf litter,87.0,67.4,"40.726932, -73.772660","40.727533, -73.771670",9:36 AM,9:51 AM,(MAYBE NE),
Cunningham2,Trail,(MAYBE Jun/24/2025),25-1330,7,Unmaintained herbaceous and leaf litter,87.0,67.4,"40.726932, -73.772660","40.727533, -73.771670",9:36 AM,9:51 AM,(MAYBE NE),
Cunningham2,Trail,(MAYBE Jun/24/2025),25-1330,8,Unmaintained herbaceous and leaf litter,87.0,67.4,"40.726932, -73.772660","40.727533, -73.771670",9:36 AM,9:51 AM,(MAYBE NE),
Cunningham2,Trail,(MAYBE Jun/24/2025),25-1330,9,Unmaintained herbaceous,87.0,67.4,"40.726932, -73.772660","40.727533, -73.771670",9:36 AM,9:51 AM,(MAYBE NE),
Cunningham2,Trail,(MAYBE Jun/24/2025),25-1330,10,Unmaintained herbaceous,87.0,67.4,"40.726932, -73.772660","40.727533, -73.771670",9:36 AM,9:51 AM,(MAYBE NE),
Cunningham2,Interior,Jun/24/2025,25-1331,1,Leaf Litter,87.0,64.6,"40.727574, -73.771827",,9:53 AM,,NE,
Cunningham2,Interior,Jun/24/2025,25-1331,2,Leaf Litter,87.0,64.6,"40.727574, -73.771827",,9:53 AM,,NE,
Cunningham2,Interior,Jun/24/2025,25-1331,3,Leaf Litter,87.0,64.6,"40.727574, -73.771827",,9:53 AM,,NE,
Cunningham2,Interior,Jun/24/2025,25-1331,4,Leaf Litter,87.0,64.6,"40.727574, -73.771827",,9:53 AM,,NE,
Cunningham2,Interior,Jun/24/2025,25-1331,5,Unmaintained herbaceous and leaf litter,87.0,64.6,"40.727574, -73.771827",,9:53 AM,,NE,
Cunningham2,Interior,Jun/24/2025,25-1331,6,Leaf Litter,87.0,64.6,"40.727574, -73.771827",,9:53 AM,,NE,
Cunningham2,Interior,Jun/24/2025,25-1331,7,Leaf Litter,87.0,64.6,"40.727574, -73.771827",,9:53 AM,,NE,
Cunningham2,Interior,Jun/24/2025,25-1331,8,Unmaintained herbaceous,87.0,64.6,"40.727574, -73.771827",,9:53 AM,,NE,
,,,,,,87.0,64.6,"40.727574, -73.771827",,9:53 AM,,NE,
,,,,,,87.0,64.6,"40.727574, -73.771827",,9:53 AM,,NE,
Cunningham1,Interior,Jul/12/2025,25-2975b,1,Unmaintained herbaceous and leaf litter,81.2,73.2,"40.7279804, -73.7690094","40.7274923, -73.7698749",8:10 AM,8:25 AM,Stephen Lewis,Total: 0
Cunningham1,Interior,Jul/12/2025,25-2975b,2,Unmaintained herbaceous and leaf litter,81.2,73.2,"40.7279804, -73.7690094","40.7274923, -73.7698749",8:10 AM,8:25 AM,Stephen Lewis,Total: 0
Cunningham1,Interior,Jul/12/2025,25-2975b,3,Unmaintained herbaceous and leaf litter,81.2,73.2,"40.7279804, -73.7690094","40.7274923, -73.7698749",8:10 AM,8:25 AM,Stephen Lewis,Total: 0
Cunningham1,Interior,Jul/12/2025,25-2975b,4,Unmaintained herbaceous and leaf litter,81.2,73.2,"40.7279804, -73.7690094","40.7274923, -73.7698749",8:10 AM,8:25 AM,Stephen Lewis,Total: 0
Cunningham1,Interior,Jul/12/2025,25-2975b,5,Unmaintained herbaceous and leaf litter,81.2,73.2,"40.7279804, -73.7690094","40.7274923, -73.7698749",8:10 AM,8:25 AM,Stephen Lewis,Total: 0
Cunningham1,Interior,Jul/12/2025,25-2975b,6,Unmaintained herbaceous and leaf litter,81.2,73.2,"40.7279804, -73.7690094","40.7274923, -73.7698749",8:10 AM,8:25 AM,Stephen Lewis,Total: 0
Cunningham1,Interior,Jul/12/2025,25-2975b,7,Unmaintained herbaceous and leaf litter,81.2,73.2,"40.7279804, -73.7690094","40.7274923, -73.7698749",8:10 AM,8:25 AM,Stephen Lewis,Total: 0
Cunningham1,Interior,Jul/12/2025,25-2975b,8,Unmaintained herbaceous and leaf litter,81.2,73.2,"40.7279804, -73.7690094","40.7274923, -73.7698749",8:10 AM,8:25 AM,Stephen Lewis,Total: 0
Cunningham1,Interior,Jul/12/2025,25-2975b,9,Unmaintained herbaceous and leaf litter,81.2,73.2,"40.7279804, -73.7690094","40.7274923, -73.7698749",8:10 AM,8:25 AM,Stephen Lewis,Total: 0
Cunningham1,Interior,Jul/12/2025,25-2975b,10,Unmaintained herbaceous and leaf litter,81.2,73.2,"40.7279804, -73.7690094","40.7274923, -73.7698749",8:10 AM,8:25 AM,Stephen Lewis,Total: 0
Cunningham1,Interior,Jul/12/2025,25-2976,1,Unmaintained herbaceous and leaf litter,83.3,74.7,"40.7279804, -73.7690094","40.7277740, -73.7705480",8:25 AM,8:40 AM,Stephen Lewis,
Cunningham1,Interior,Jul/12/2025,25-2976,2,Unmaintained herbaceous and leaf litter,83.3,74.7,"40.7279804, -73.7690094","40.7277740, -73.7705480",8:25 AM,8:40 AM,Stephen Lewis,
Cunningham1,Interior,Jul/12/2025,25-2976,3,Unmaintained herbaceous and leaf litter,83.3,74.7,"40.7279804, -73.7690094","40.7277740, -73.7705480",8:25 AM,8:40 AM,Stephen Lewis,
